year,state,house,senate,pres,pres & senate,pres & sen & house
2004,IA,502,37,64614,64651,65153
2004,KS,312,38,62,60,372
2004,KY,415,2270,80,2350,2765
2004,LA,114957,73,110,105,115062
2004,ME,166,0,182,182,348
2004,MD,298,50,124,117,415
2004,MA,362,0,63,63,425
2004,MI,759,0,548,548,1307
2004,MN,620,0,537,537,1157
2004,MS,193,0,84,84,277
2004,MO,638,121,233,212,850
2004,MT,50,0,77,77,127
2004,NE,227,0,47,47,274
2004,NV,198,61,781,680,878
2004,NH,138,48,2102,2150,2288
2004,NJ,675,0,252,252,927
2004,NM,304,0,10289,10289,10593
2004,NY,75594,42,86,83,75677
2004,NC,915,387,129,335,1250
2004,ND,83,43,57,56,139
2004,OH,921,57,1039,1096,2017
2004,OK,220,140,50,134,354
2004,OR,409,50,433,366,775
2004,PA,2032,153,819,776,2808
2004,RI,85,0,76,76,161
2004,SC,229,171,93,161,390
2004,SD,224,2991,73,3064,3288
2004,TN,414,0,112,112,526
2004,TX,2103,0,69,69,2172
2004,UT,231,39,34,39,270
2004,VT,36,34,78,76,112
2004,VA,661,0,202,202,863
2004,WA,810,132,233,212,1022
2004,WV,194,0,125,125,319
2004,WI,416,144,2997007,2997007,2997423
2004,WY,119,0,39,39,158
2004,DC,0,0,20,20,20
2004,USA,503595,11900,3083229,3092289,3595884
2006,AZ,1068,166,0,166,1234
2006,CA,3153,64,0,64,3217
2006,CT,243155,163,0,163,243318
2006,DE,86,38,0,38,124
2006,FL,241377,71,0,71,241448
2006,HI,111,64,0,64,175
2006,IN,1314,21,0,21,1335
2006,ME,91,29,0,29,120
2006,MD,306,163,0,163,469
2006,MA,319,42,0,42,361
2006,MI,1508,102,0,102,1610
2006,MN,844,79,0,79,923
2006,MS,155,55,0,55,210
2006,MO,433,935,0,935,1368
2006,MT,80,6546,0,6546,6626
2006,NE,434,57,0,57,491
2006,NV,1595,111,0,111,1706
2006,NJ,2450,99,0,99,2549
2006,NM,211227,38,0,38,211265
2006,NY,4863,50,0,50,4913
2006,ND,50,40,0,40,90
2006,OH,225681,130,0,130,225811
